valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon
2005-09-28 17:14:00+00:00,T,GLF3,BUR UUA /OV VNY360005/TM 1714/FL050/TP GLF3/TB MOD-SEV SMTH ABOVE 7700/RM DURC,MOD-SEV SMTH ABOVE 7700,ZLA,5000,34.29306008334008,-118.48917
2005-11-18 23:38:00+00:00,T,P46T,BUR UUA /OV PMD230018/TM 2338/FL080/TP P46T/TB MOD OCNL SEV,MOD OCNL SEV,ZLA,8000,34.4365380973395,-118.36386378623878
2005-11-26 17:01:00+00:00,T,BE90,BUR UUA /OV BUR360005-BUR/TM 1701/FL050/TP BE90/TB MOD-OCNL SEV BLW 050,MOD-OCNL SEV BLW 050,ZLA,5000,34.284010083340085,-118.35867
2005-11-26 19:12:00+00:00,T,C172,BUR UUA /OV BUR-EMT/TM 1912/FL105/TP C172/TB MOD-SEV,MOD-SEV,ZLA,10500,34.143335,-118.196835
2006-01-04 20:58:00+00:00,T,GLF4,HHR UUA /OV 2 MILE APCH BUR RY 15/TM 2058/FL035/TP GLF4/TB MOD-SEV,MOD-SEV,ZLA,3500,33.92284,-118.33519
2006-01-04 20:58:00+00:00,F,GLF4,BUR UA /OV 2 MILE APCH BUR RY 15/TM 2058/FL035/TP GLF4/TB MOD-SEV/RM ***CORRECTION FOR LOCATION,MOD-SEV,ZLA,3500,34.20067,-118.35867
2006-01-08 01:13:00+00:00,T,M20C,VNY UUA /OV VNY-BUR/TM 0113/FL050/TP M20C/TB MOD-SEV,MOD-SEV,ZLA,5000,34.205195,-118.42392
2006-01-23 01:24:00+00:00,T,C172,BUR UUA /OV BUR/TM 0124/FL050/TP C172/TB MOD-SEV,MOD-SEV,ZLA,5000,34.20067,-118.35867
2006-01-23 02:17:00+00:00,T,BE36,BUR UUA /OV BUR/TM 0217/FL070/TP BE36/TB MOD-SEV FL050-070,MOD-SEV FL050-070,ZLA,7000,34.20067,-118.35867
2006-01-23 16:16:00+00:00,T,B190,BUR UUA /OV BUR/TM 1616/FL050/TP B190/TB MOD-SEV,MOD-SEV,ZLA,5000,34.20067,-118.35867
2006-03-09 22:49:00+00:00,T,C56X,BUR UUA /OV BUR040008/TM 2249/FL060/TP C56X/TB MOD -SEV,MOD -SEV,ZLA,6000,34.30281753237079,-118.25503724574229
2006-05-22 00:33:00+00:00,T,C182,BUR UUA /OV 15NW BUR/TM 0033/FL050/TP C182/TB SEV,SEV,ZLA,5000,34.34407572402222,-118.60629548281769
2006-05-22 00:33:00+00:00,T,C182,HHR UUA /OV 15NW BUR/TM 0033/FL050/TP C182/TB SEV,SEV,ZLA,5000,34.34407572402222,-118.60629548281769
2006-10-18 16:25:00+00:00,T,C182,BUR UUA /OV VNY06012/TM 1625/FL055/TP C182/TB MOD-SEV,MOD-SEV,ZLA,5500,34.20972,-118.48917
2006-11-25 18:55:00+00:00,T,BE36,BUR UUA /OV BUR330007/TM 1855/FL045/TP BE36/TB MOD OCNL SEV,MOD OCNL SEV,ZLA,4500,34.301714481056436,-118.42920547595584
2006-11-30 01:39:00+00:00,T,B737,BUR UUA /OV BUR 270015/TM 0139/FL050/TP B737/TB SEV,SEV,ZLA,5000,34.20067,-118.66096489695362
2006-12-16 21:12:00+00:00,T,C172,BUR UUA /OV BUR180002/TM 2112/FL020/TP C172/TB MOD-SEV,MOD-SEV,ZLA,2000,34.16733396666397,-118.35867
2006-12-22 19:52:00+00:00,T,DH8,HHR UUA /OV BUR240005/TM 1952/FL080/TP DH8/TB MOD-SEV,MOD-SEV,ZLA,8000,34.15899995832996,-118.4459350200654
2006-12-22 19:56:00+00:00,T,DC8,BUR UUA /OV BUR045005/TM 1956/FL080/TP DC8/TB MOD-SEV/RM UDDF THRU 010 (CORRECTION,MOD-SEV,ZLA,8000,34.25960033807443,-118.28741840948202
2006-12-22 23:14:00+00:00,T,C560,BUR UUA /OV BUR090010/TM 2314/FL050/TP C560/TB MOD-SEV,MOD-SEV,ZLA,5000,34.20067,-118.1571400686976
2006-12-22 23:31:00+00:00,T,PA24,BUR UUA /OV LHS180020/TM 2331/FL075/TP PA24/WV 350073KT/TB MOD-SEV/RM MTN WAVE 500FPM UDDFS,MOD-SEV,ZLA,7500,34.34663966663967,-118.58
2007-01-02 02:22:00+00:00,T,DCH8,BUR UUA /OV BUR360010/TM 0222/FL070/TP DCH8/TB MOD OCNL SEV/RM DURD,MOD OCNL SEV,ZLA,7000,34.36735016668017,-118.35867
2007-01-02 03:42:00+00:00,T,DHC8,BUR UUA /OV BUR360005/TM 0342/FL065/TP DHC8/TB SEV/RM FM BUR APCH,SEV,ZLA,6500,34.284010083340085,-118.35867
2007-01-05 17:54:00+00:00,T,E120,BUR UUA /OV DARTS/TM 1754/FL060/TP E120/TB SEV/RM DURD NUMRS ACFT SOCAL,SEV,ZLA,6000,34.20067,-118.35867
2007-01-05 19:21:00+00:00,T,SF34,BUR UUA /OV DARTS/TM 1921/FL076/TP SF34/TB SEV/RM DURD,SEV,ZLA,7600,34.20067,-118.35867
2007-01-05 23:53:00+00:00,T,LJ55,BUR UUA /OV BUR360010/TM 2353/FL090/TP LJ55/TB MOD-SEV,MOD-SEV,ZLA,9000,34.36735016668017,-118.35867
2007-01-06 02:32:00+00:00,T,PA24,BUR UUA /OV BUR150006/TM 0232/FL025/TP PA24/TB MOD-SEV/RM REPORTED BY BUR APCH,MOD-SEV,ZLA,2500,34.11406044480877,-118.29821102060929
2007-01-06 23:53:00+00:00,T,LJ55,BUR UUA /OV BUR360010/TM 2353/FL090/TP LJ55/TB MOD-SEV,MOD-SEV,ZLA,9000,34.36735016668017,-118.35867
2007-01-15 19:47:00+00:00,T,B737,BUR UUA /OV VNY270010/TM 1947/FL050/TP B737/TB SEV/RM SOCAL,SEV,ZLA,5000,34.20972,-118.69072156976698
2007-01-16 16:33:00+00:00,T,C172,BUR UUA /OV BUR360010/TM 1633/FL075/TP C172/TB SEV,SEV,ZLA,7500,34.36735016668017,-118.35867
2007-01-18 18:57:00+00:00,T,GLF4,BUR UUA /OV BUR360003/TM 1857/FL070/TP GLF4/TB MOD-SEV,MOD-SEV,ZLA,7000,34.25067405000405,-118.35867
2007-01-19 02:45:00+00:00,T,PA31,BUR UUA /OV BUR360010/TM 0245/FL070/TP PA31/TB MOD-SEV FL070-060/RM DURD,MOD-SEV FL070-060,ZLA,7000,34.36735016668017,-118.35867
2007-01-21 20:54:00+00:00,T,AC11,BUR UUA /OV BUR/TM 2054/FL050/TP AC11/TB SEV,SEV,ZLA,5000,34.20067,-118.35867
2007-01-22 00:39:00+00:00,T,B350,BUR UUA /OV DARTS/TM 0039/FL060/TP B350/TB SEV,SEV,ZLA,6000,34.20067,-118.35867
2007-01-22 05:37:00+00:00,T,C550,BUR UUA /OV VNY/TM 0537/FL050/TP C550/TB MOD-SEV,MOD-SEV,ZLA,5000,34.20972,-118.48917
2007-01-22 17:57:00+00:00,T,U16,BUR UUA /OV BUR/TM 1757/FL030/TP U16/TB MOD-SEV/RM ACFT TYPE GRUMAN ALBATROSS,MOD-SEV,ZLA,3000,34.20067,-118.35867
2007-01-22 17:58:00+00:00,F,UNKN,BUR UA /OV BUR/TM 1758/FL030/TP UNKN/TB MOD-SEV/RM FINAL FOR RWY15,MOD-SEV,ZLA,3000,34.20067,-118.35867
2007-01-22 17:59:00+00:00,F,UNKN,BUR UA /OV BUR/TM 1759/FL030/TP UNKN/TB MOD-SEV/RM FINAL FOR RWY 15/ CORRECTION,MOD-SEV,ZLA,3000,34.20067,-118.35867
2007-01-31 22:39:00+00:00,T,MO20,BUR UUA /OV BUR/TM 2239/FL060/TP MO20/SK OVC-TOP060/TB MOD-OCNL SEV 060,MOD-OCNL SEV 060,ZLA,6000,34.20067,-118.35867
2007-02-22 23:26:00+00:00,T,C208,BUR UUA /OV BUR/TM 2326/FL100/TP C208/TB MOD-SEV,MOD-SEV,ZLA,10000,34.20067,-118.35867
2007-04-09 06:28:00+00:00,T,PA24,WHP UUA /OV BUR360012/TM 0628/FL045/TP PA24/TB SEV/RM LLWS +/-40KT DURD,SEV,ZLA,4500,34.4006862000162,-118.35867
2007-04-09 06:28:00+00:00,T,PA24,BUR UUA /OV BUR360012/TM 0628/FL045/TP PA24/TB SEV/RM LLWS +/-40KT DURD,SEV,ZLA,4500,34.4006862000162,-118.35867
2007-05-05 20:55:00+00:00,T,PA34,BUR UUA /OV BUR/TM 2055/FL090/TP PA34/TB MOD-SEV/RM 5 E BUR,MOD-SEV,ZLA,9000,34.20067,-118.35867
2007-05-06 04:15:00+00:00,T,PC12,BUR UUA /OV BUR360005/TM 0415/FL060/TP PC12/TB SEV,SEV,ZLA,6000,34.284010083340085,-118.35867
2007-05-06 16:54:00+00:00,T,E120,BUR UUA /OV BUR360003/TM 1654/FL070/TP E120/TB SEV/RM 100FPM UDDF,SEV,ZLA,7000,34.25067405000405,-118.35867
2007-05-06 17:19:00+00:00,T,E120,BUR UUA /OV BUR360003/TM 1719/FL070/TP E120/TB SEV/RM 1000FPM UDDF,SEV,ZLA,7000,34.25067405000405,-118.35867
2007-11-12 10:16:00+00:00,T,C550,BUR UUA /OV BUR /TM 1016 /FL030 /TP C550 /TB MOD-OCNL SEV 030-050 /RM OCNL SEV JOLTS OVER RIDGE LINE,MOD-OCNL SEV 030-050,ZLA,3000,34.20067,-118.35867
2007-11-23 23:04:00+00:00,T,C172,BUR UUA /OV BUR360004 /TM 2304 /FL045 /TP C172 /TB SEV,SEV,ZLA,4500,34.26734206667207,-118.35867
2007-11-24 01:54:00+00:00,T,SW4,BUR UUA /OV BUR /TM 0154 /FL050 /TP SW4 /TB SEV /RM MOD-SEV,SEV,ZLA,5000,34.20067,-118.35867
2007-12-04 17:28:00+00:00,T,C172,BUR UUA /OV WHP/TM 1728/FL020/TP C172/TB MOD-SEV DDFS/RMRETRANSMISSION. ZLA CWSU,MOD-SEV DDFS,ZLA,2000,34.25933,-118.41343
2007-12-04 17:28:00+00:00,T,C172,BUR UUA /OV WHP/TM 1728/FL020/TP C172/TB MOD-SEV DDFS/RM RETRANSMISSION. ZLA CWSU,MOD-SEV DDFS,ZLA,2000,34.25933,-118.41343
2007-12-10 04:54:00+00:00,T,DH8,WHP UUA /OV BUR290005 /TM 0454 /FL060 /TP DH8 /TB SEV,SEV,ZLA,6000,34.22917398724875,-118.45335809465618
2008-01-17 02:55:00+00:00,T,C25B,BUR UUA /OV BUR /TM 0255 /FL004 /TP C25B /TB SEV /RM 1SM FAP RWY 08,SEV,ZLA,400,34.20067,-118.35867
