valid,urgent,aircraft,report,icing,turbulence,atrcc,product_id,fl,lat,lon
2017-01-10 17:30:00+00:00,F,FA10,KLGB UA /OV KLGB/TM 1730/FL6000/TP FA10/RM TOPS 6000,,,ZLA,,60000,33.81179,-118.14716
2017-02-03 16:40:00+00:00,F,A320,LGB UA /OV 1 MILE SE LGB/TM 1640/FL900/TP A320/SK OVC009/RM BASES REPORTED AT 900FT,,,ZLA,,90000,33.81179,-118.14716
2017-02-17 22:40:00+00:00,F,C208,SNA UA /OV 5 NW SNA /TM 2240/FL5000/TP C208/IC LIGHT RIME,LIGHT RIME,,ZLA,,50000,33.723471908007404,-117.95025442471278
2017-03-27 20:56:00+00:00,F,P28A,EMT UA /OV EMT/TM 2056/FL5000/TP P28A/TB MODERATE,,MODERATE,ZLA,,50000,34.086,-118.035
2017-04-27 00:05:00+00:00,F,E170,LAX UA /OV SMO/TM 0005/FL9500/TP E170/TB MOD,,MOD,ZLA,,95000,34.021,-118.44708
2017-05-17 20:00:00+00:00,F,C25C,SMO UA /OV LLWS/TM 2000/FL700'/TP C25C,,,ZLA,,70000,34.021,-118.44708
2017-10-18 22:05:00+00:00,F,B737,KBUR UA /OV 15 MILES N OF KBUR/TM 2205/FL8000/TP B737/TB MODERATE,,MODERATE,ZLA,,80000,34.20067,-118.35867
2017-10-28 15:53:00+00:00,F,A321,LAX UA /OV 5 WEST OF LAX/TM 1553/FL800/TP A321/SK TOPS 800AGL,,,ZLA,,80000,33.93816,-118.48698323243576
2018-01-19 19:44:00+00:00,F,LJ60,FUL UA /OV SLI330010 /TM 1944 /FL450 /TP LJ60 /SK SKC /TA M60 /WV 24671KT /TB NEG,,NEG,ZLA,,45000,33.93434925865205,-118.15227906826794
2018-04-19 07:35:00+00:00,F,CRJ9,SNA UA /OV 10 NORTH SXC/TM 0735/FL8000/TP CRJ9/IC LIGHT RIME,LIGHT RIME,,ZLA,,80000,33.54668016668017,-118.42
2018-06-16 17:55:00+00:00,F,B737,LAX UA /OV LAX/TM 1755/FL5000/TP B737/SK BASES: 2 400; TOPS: 4 100,,,ZLA,,50000,33.93816,-118.38653
2018-10-01 00:47:00+00:00,F,FA7X,LAX UA /OV 30N 138W/TM 0047/FL430/TP FA7X/TB MOD/RM ZOA CWSU,,MOD,ZLA,,43000,33.93816,-118.38653
2018-12-28 03:36:00+00:00,F,CRJ7,LAX UA /OV SMO255011/TM 0336/FL6000/TP CRJ7/TB MOD SFC-6900/RM RPRTD ON CLIMBOUT WESTBOUND FROM KLAX VIA LADJ DEPT SFC-6900,,MOD SFC-6900,ZLA,,60000,33.97354599826454,-118.66075493704402
