valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon,year
2025-01-01 03:05:00,F,B763,LGB UA /OV LGB270003/TM 0305/FL016/TP B763/SK OVC007-TOP012,,ZLA,1600,33.81179,-118.20734276166888,2025
2025-01-01 13:05:00,F,B752,KLAX UA /OV KLAX071002/TM 1305/FL002/TP B752/SK OVC002/RM DURD RY24R,,ZLA,200,33.949013150850135,-118.3485378411012,2025
2025-01-01 14:45:00,F,C172,LGB UA /OV LGB260003/TM 1445/FL016/TP C172/SK OVC003-TOP008,,ZLA,1600,33.80310688784083,-118.20642845028918,2025
2025-01-01 14:55:00,F,C172,LGB UA /OV LGB270002/TM 1455/FL008/TP C172/SK OVC-TOP008/RM DURC. COR ALT AND SKY. ZLA CWSU,,ZLA,800,33.81179,-118.18728184111258,2025
2025-01-01 16:35:00,F,LNC4,SMO UA /OV SMO210002/TM 1635/FL005/TP LNC4/SK OVC-TOP004/WX FG/RM FOG BANK DURC. COR SKY AND WX. ZLA CWSU,,ZLA,500,33.99213014826959,-118.4671902338793,2025
2025-01-01 18:47:00,F,GLF6,WHP UA /OV VNY343006/TM 1847/FL025/TP GLF6/TB NEG/RM SMOOTH OV NEWHALL PASS. COR SA-ID AND LOCTN AND TURB. ZLA CWSU,NEG,ZLA,2500,34.30535822167257,-118.5245267856254,2025
2025-01-02 15:03:00,F,B38M,LGB UA /OV LGB300002/TM 1503/FL010/TP B38M/SK OVC002-TOP007,,ZLA,1000,33.828458016668016,-118.18190653365008,2025
2025-01-03 15:15:00,F,B06,SMO UA /OV SMO060003/TM 1515/FL020/TP B06/SK OVCUNK-TOP002,,ZLA,2000,34.046002025002025,-118.39483207975344,2025
2025-01-03 18:19:00,F,DA62,LGB UA /OV KLGB200003/TM 1819/FL010/TP DA62/SK OVC002/RM TOP010,,ZLA,1000,33.764801563201786,-118.16774371677172,2025
2025-01-03 19:16:00,F,P28A,SMO UA /OV SMO260002/TM 1916/FL015/TP P28A/WX FV03SM HZ,,ZLA,1500,34.015211258560555,-118.48668942847844,2025
2025-01-03 20:04:00,F,P28A,SMO UA /OV SMO010004/TM 2004/FL020/TP P28A/WX FV06SM HZ,,ZLA,2000,34.086659168168,-118.4331115781376,2025
2025-01-03 22:24:00,F,C172,WHP UA /OV WHP /TM 2224 /FL010 /TP C172 /SK SKC,,ZLA,1000,34.25933,-118.41343,2025
2025-01-04 16:28:00,F,B737,LAX UA /OV LAX180025/TM 1628/FL065/TP B737/TB MOD BLO 065/RM DURC LAX SOUTHBOUND,MOD BLO 065,ZLA,6500,33.52145958329959,-118.38653,2025
2025-01-04 17:17:00,F,B737,BUR UA /OV FIM120010/TM 1717/FL070/TP B737/TB MOD BLO 070,MOD BLO 070,ZLA,7000,34.276659916659916,-118.70513881407882,2025
2025-01-04 17:28:00,F,E75L,BUR UA /OV BUR090015/TM 1728/FL040/TP E75L/TB LGT-MOD CHOP/RM SIMI VALLEY PRACTICE AREA,LGT-MOD CHOP,ZLA,4000,34.20067,-118.0563751030464,2025
2025-01-04 17:30:00,F,B737,BUR UA /OV BUR240015/TM 1730/FL030/TP B737/TB CONS MOD 030-090/RM CONTINUOUS MOD TURB DURING CLIMBING ON LADYJ AND OROSZ SIDS,CONS MOD 030-090,ZLA,3000,34.075659874989874,-118.62046506019622,2025
2025-01-04 17:47:00,F,P28A,SMO UA /OV SMO360006/TM 1747/FL022/TP P28A/WX FV05SM,,ZLA,2200,34.1210081000081,-118.44708,2025
2025-01-04 18:23:00,F,SR20,SMO UA /OV SMO270003/TM 1823/FL031/TP SR20/WX FV05SM,,ZLA,3100,34.021,-118.5074107016379,2025
2025-01-04 19:05:00,F,R22,EMT UA /OV KEMT190001/TM 1905/FL013/TP R22/WX FV03SM,,ZLA,1300,34.069585207958,-118.03849478405718,2025
2025-01-04 19:33:00,F,DA40,EMT UA /OV KEMT090001/TM 1933/FL013/TP DA40/WX FV02SM/RM FV TO NW 3-4SM AND FV TO E 2SM,,ZLA,1300,34.086,-118.01487434072652,2025
2025-01-05 00:00:00,F,C172,SMO UA /OV SMO250003/TM 0000/FL020/TP C172/TB LGT CHOP,LGT CHOP,ZLA,2000,34.00389760765075,-118.50377231513598,2025
2025-01-06 15:12:00,F,B737,FUL UA /OV SLI020010/TM 1512/FL240/TP B737/TB MOD CHOP 220-240/RM DURC ZOOM3 SID. COR SA-ID. ZLA CWSU,MOD CHOP 220-240,ZLA,24000,33.94662812266072,-117.98340507739688,2025
2025-01-07 18:20:00,F,C206,BUR UA /OV BUR100010/TM 1820/FL070/TP C206/TB CONT MOD,CONT MOD,ZLA,7000,34.171726292802774,-118.16020176118938,2025
2025-01-07 18:30:00,F,B737,VNY UA /OV VNY 360010/TM 1830/FL080/TP B737/SK SCT070/TB MOD DURC/RM SFC-080,MOD DURC,ZLA,8000,34.37640016668016,-118.48917,2025
2025-01-07 20:50:00,T,B737,BUR UUA /OV BUR320007/TM 2050/FL070/TP B737/TB MOD-SEV,MOD-SEV,ZLA,7000,34.290049090824446,-118.44934865997551,2025
2025-01-08 04:15:00,F,E75L,LAX UA /OV LAX250010/TM 0415/FL020/TP E75L/WV MOD/RM ILS 6L MODERATE TURB THROUGH THE SMOKE,,ZLA,2000,33.88115202550251,-118.57532032250796,2025
2025-01-08 14:35:00,F,A321,HHR UA /OV LAX080010/TM 1435/FL050/TP A321/SK UNKN/WX FV09SM/RM NO CIG. VIS LESS THAN 9SM IMPROVED ABV 050. COR SA-ID AND SKY AND WX. ZLA CWSU,,ZLA,5000,33.96710370719723,-118.18867575576424,2025
2025-01-08 14:45:00,T,C560,BUR UUA /OV VNY360005/TM 1445/FL060/TP C560/TB MOD-SEV SFC-060 DURC,MOD-SEV SFC-060 DURC,ZLA,6000,34.29306008334008,-118.48917,2025
2025-01-08 14:52:00,F,B737,BUR UA /OV VNY110020/TM 1452/FL080/TP B737/TB MOD,MOD,ZLA,8000,34.095704051005,-118.1103769543643,2025
2025-01-08 15:25:00,F,B737,VNY UA /OV BUR270013/TM 1525/FL080/TP B737/WV UNKN/TB MOD/RM DURD ILS RWY 8 BUR. COR SA-ID AND WIND. ZLA CWSU,MOD,ZLA,8000,34.20067,-118.62065891069312,2025
2025-01-08 15:45:00,F,B737,NTD UA /OV SMO259019/TM 1545/FL050/TP B737/TB LGT OCNL MOD/RM OV WAKER. COR SA-ID AND LOCTN AND TURB. ZLA CWSU,LGT OCNL MOD,ZLA,5000,33.96057225720847,-118.82215429258682,2025
2025-01-08 15:45:00,F,E75L,BUR UA /OV BUR315002/TM 1545/FL060/TP E75L/TB LGT-MOD SFC-060/RM DURC RWY 33. COR TURB. ZLA CWSU,LGT-MOD SFC-060,ZLA,6000,34.22424213522977,-118.3871706362072,2025
2025-01-08 16:25:00,F,B737,BUR UA /OV VNY340010/TM 1625/FL060/TP B737/TB MOD,MOD,ZLA,6000,34.36634812266072,-118.55810469677922,2025
2025-01-08 16:30:00,F,B738,LAX UA /OV LAX050010/TM 1630/FL075/TP B738/TB MOD TURB AOB 075/RM WIND SHEAR TO -20 KTS,MOD TURB AOB 075,ZLA,7500,34.0452999459225,-118.23262671899847,2025
2025-01-08 16:55:00,F,GA7C,BUR UA /OV VNY340005/TM 1655/FL065/TP GA7C/TB CONS MOD AOB 065,CONS MOD AOB 065,ZLA,6500,34.28803406133036,-118.5236373483896,2025
2025-01-08 18:55:00,F,C182,EMT UA /OV EMT360002/TM 1855/FL012/TP C182/TB NEG,NEG,ZLA,1200,34.11933603333603,-118.035,2025
2025-01-08 19:20:00,F,B7,BUR UA /OV LAX060015/TM 1920/FL110/TP B7,,ZLA,11000,34.06317012501013,-118.12554484645509,2025
2025-01-08 19:47:00,F,BE20,BUR UA /OV BUR360005/TM 1947/FL100/TP BE20/TB MOD/RM DOWN DRAFTS,MOD,ZLA,10000,34.284010083340085,-118.35867,2025
2025-01-08 20:58:00,F,C700,SLI UA /OV KSLI/TM 2058/FL050/TP C700/RM MODERATE TURBULENCE,,ZLA,5000,33.79,-118.052,2025
2025-01-08 21:05:00,F,B462,VNY UA /OV VNY040010/TM 2105/FL080/TP B462/TB MOD-SEV,MOD-SEV,ZLA,8000,34.33740441546348,-118.3596151482409,2025
2025-01-08 21:13:00,F,GLEX,BUR UA /OV VNY330008/TM 2113/FL060/TP GLEX/TB SEV BLO 060,SEV BLO 060,ZLA,6000,34.325199406921634,-118.5697906279068,2025
2025-01-08 21:30:00,F,B738,KLAX UA /OV LAX070020/TM 2130/FL120/TP B738/TB MODERATE,MODERATE,ZLA,12000,34.052175948995,-118.00894935498408,2025
2025-01-08 22:49:00,F,CRJ2,LAX UA /OV SXC325025/TM 2249/FL130/TP CRJ2/TB MOD 130-100/RM DURD SNA/LGB VIA TANDY,MOD 130-100,ZLA,13000,33.721340998196226,-118.70622527022292,2025
2025-01-08 23:30:00,F,BE20,SMO UA /OV SMO020015/TM 2330/FL070/TP BE20/TB TB MOD,TB MOD,ZLA,7000,34.25594218399108,-118.34390842389432,2025
2025-01-09 00:22:00,F,B737,SNA UA /OV 10 NW SXC/TM 0022/FL100/TP B737/TB CNST MOD TURB/RM CONSTANT MODERATE TURBULENCE DESCENDING FOR SNA/LGB,CNST MOD TURB,ZLA,10000,33.47560381601481,-118.58350881965924,2025
2025-01-09 15:10:00,F,C208,BUR UA /OV BUR090010/TM 1510/FL080/TP C208/TB MOD,MOD,ZLA,8000,34.20067,-118.1571400686976,2025
2025-01-09 15:15:00,F,CRJ7,LAX UA /OV 15 EAST LAX/TM 1515/FL026/TP CRJ7/RM TOPS 090 HZ UNTIL 000,,ZLA,2600,33.93816,-118.08517030269267,2025
2025-01-09 15:47:00,F,B350,VNY UA /OV VNY280005/TM 1547/FL050/TP B350/TB SEV SFC-060,SEV SFC-060,ZLA,5000,34.22419185359861,-118.58841477426915,2025
2025-01-09 15:55:00,F,B737,BUR UA /OV BUR270003/TM 1555/FL010/TP B737/TB MOD-SEV 010-100,MOD-SEV 010-100,ZLA,1000,34.20067,-118.41912897939072,2025
2025-01-09 16:05:00,F,B737,BUR UA /OV BUR260003/TM 1605/FL010/TP B737/TB MOD 010-100,MOD 010-100,ZLA,1000,34.191986887840834,-118.4182104716432,2025
2025-01-09 18:55:00,F,C525,VNY UA /OV PMD200020/TM 1855/FL080/TP C525/TB MOD/RM CONT MOD TURB 080 TO 050 ON JANNY ARRIVAL,MOD,ZLA,8000,34.31613375467857,-118.22311309666904,2025
2025-01-09 19:02:00,T,E55P,BUR UUA /OV BUR100008/TM 1902/FL060/TP E55P/TB SEV/RM AIRCRAFT HAD TO DIVERT DUE TO SEVERE TURB,SEV,ZLA,6000,34.17751503424222,-118.1998954089515,2025
2025-01-09 23:21:00,F,E55P,AVX UA /OV SXC354008/TM 2321/FL080/TP E55P/SK OVC068-TOP07/WX FU,,ZLA,8000,33.51261366022965,-118.43669172483312,2025
